SlidingWindow? = True . Config: SlidingWindowConfig(context_size=40,000, step_size=8,000, step_size_range=0, buffer_size=4,000)
model_path = 'w2v_slim_finetune_ack1_causal_mask-2024-03-19-13-37' ; dataset_name = 'epic_ello_valid' ; per = 17.17855283706403
model_path = 'w2v_slim_finetune_ack1_causal_mask-2024-03-19-13-37' ; dataset_name = 'ello_launch_books' ; per = 24.153743779655134
model_path = 'w2v_slim_finetune_ack1_causal_mask-2024-03-19-13-37' ; dataset_name = 'audiocapture_230315_beta_test' ; per = 16.83435704563142
model_path = 'w2v_slim_finetune_ack1_causal_mask-2024-03-19-13-37' ; dataset_name = 'epic_ello_test' ; per = 28.294889190411578
model_path = 'w2v_slim_finetune_ack1_causal_mask_lookahead1-2024-03-22-20-19' ; dataset_name = 'epic_ello_valid' ; per = 13.794898490369599
model_path = 'w2v_slim_finetune_ack1_causal_mask_lookahead1-2024-03-22-20-19' ; dataset_name = 'ello_launch_books' ; per = 19.217972456891562
model_path = 'w2v_slim_finetune_ack1_causal_mask_lookahead1-2024-03-22-20-19' ; dataset_name = 'audiocapture_230315_beta_test' ; per = 12.883582052530238
model_path = 'w2v_slim_finetune_ack1_causal_mask_lookahead1-2024-03-22-20-19' ; dataset_name = 'epic_ello_test' ; per = 24.360018091361376
model_path = 'w2v_slim_finetune_ack1_causal_mask_lookahead5-2024-03-22-20-17' ; dataset_name = 'epic_ello_valid' ; per = 11.74207274291017
model_path = 'w2v_slim_finetune_ack1_causal_mask_lookahead5-2024-03-22-20-17' ; dataset_name = 'ello_launch_books' ; per = 16.336361532230065
model_path = 'w2v_slim_finetune_ack1_causal_mask_lookahead5-2024-03-22-20-17' ; dataset_name = 'audiocapture_230315_beta_test' ; per = 12.355551145823966
model_path = 'w2v_slim_finetune_ack1_causal_mask_lookahead5-2024-03-22-20-17' ; dataset_name = 'epic_ello_test' ; per = 20.904568068747174
model_path = 'w2v_slim_finetune_ack1_causal_mask_pos_conv1-2024-03-27-01-45' ; dataset_name = 'epic_ello_valid' ; per = 99.08788448045628
model_path = 'w2v_slim_finetune_ack1_causal_mask_pos_conv1-2024-03-27-01-45' ; dataset_name = 'ello_launch_books' ; per = 99.58627473672028
model_path = 'w2v_slim_finetune_ack1_causal_mask_pos_conv1-2024-03-27-01-45' ; dataset_name = 'audiocapture_230315_beta_test' ; per = 99.05803999144237
model_path = 'w2v_slim_finetune_ack1_causal_mask_pos_conv1-2024-03-27-01-45' ; dataset_name = 'epic_ello_test' ; per = 99.70149253731343
model_path = 'w2v_slim_finetune_ack1_causal_mask_pos_conv2-2024-03-27-02-01' ; dataset_name = 'epic_ello_valid' ; per = 99.92304732589457
model_path = 'w2v_slim_finetune_ack1_causal_mask_pos_conv2-2024-03-27-02-01' ; dataset_name = 'ello_launch_books' ; per = 99.99276704085176
model_path = 'w2v_slim_finetune_ack1_causal_mask_pos_conv2-2024-03-27-02-01' ; dataset_name = 'audiocapture_230315_beta_test' ; per = 99.87907689159398
model_path = 'w2v_slim_finetune_ack1_causal_mask_pos_conv2-2024-03-27-02-01' ; dataset_name = 'epic_ello_test' ; per = 99.99095431931252
model_path = 'base_pretrain_ls_finetune_ac1k' ; dataset_name = 'epic_ello_valid' ; per = 14.114025756512685
model_path = 'base_pretrain_ls_finetune_ac1k' ; dataset_name = 'ello_launch_books' ; per = 16.494040041661844
model_path = 'base_pretrain_ls_finetune_ac1k' ; dataset_name = 'audiocapture_230315_beta_test' ; per = 12.3130730282557
model_path = 'base_pretrain_ls_finetune_ac1k' ; dataset_name = 'epic_ello_test' ; per = 23.12980551786522
model_path = 'w2v_base_finetune_ack1_causal_mask-2024-03-08-20-03' ; dataset_name = 'epic_ello_valid' ; per = 16.587827897607678
model_path = 'w2v_base_finetune_ack1_causal_mask-2024-03-08-20-03' ; dataset_name = 'ello_launch_books' ; per = 23.78486286309455
model_path = 'w2v_base_finetune_ack1_causal_mask-2024-03-08-20-03' ; dataset_name = 'audiocapture_230315_beta_test' ; per = 15.611483354469039
model_path = 'w2v_base_finetune_ack1_causal_mask-2024-03-08-20-03' ; dataset_name = 'epic_ello_test' ; per = 28.593396653098146
finish_time:  2024-04-05-21-50
